epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,422.774,1.17921,0.7475,0.9576,0.97158,0.97354,0.98019,0.62669,1.23492,0.65759,0.89188,0.000275084,0.000275084,0.000275084
78,428.224,1.18731,0.73524,0.96233,0.96064,0.97219,0.97956,0.63019,1.22303,0.64868,0.8849,0.000264085,0.000264085,0.000264085
79,433.679,1.18612,0.74354,0.95658,0.95599,0.96684,0.97861,0.6359,1.19619,0.6563,0.88594,0.000253086,0.000253086,0.000253086
80,439.166,1.1873,0.73285,0.95999,0.96848,0.97658,0.98168,0.64561,1.198,0.64432,0.88623,0.000242087,0.000242087,0.000242087
81,444.76,1.18794,0.72958,0.95531,0.95848,0.96642,0.98071,0.6388,1.19297,0.6583,0.88508,0.000231088,0.000231088,0.000231088
82,450.319,1.18179,0.73264,0.95534,0.97185,0.98025,0.98522,0.645,1.21139,0.63206,0.89074,0.000220089,0.000220089,0.000220089
83,455.884,1.17502,0.72949,0.9599,0.95004,0.96118,0.96989,0.63305,1.20969,0.65523,0.8844,0.00020909,0.00020909,0.00020909
84,461.456,1.18861,0.72609,0.95902,0.97675,0.98277,0.98553,0.6354,1.23278,0.63079,0.89079,0.000198091,0.000198091,0.000198091
85,466.976,1.1843,0.7175,0.9607,0.9783,0.98063,0.98806,0.65083,1.19986,0.61954,0.88454,0.000187092,0.000187092,0.000187092
86,472.541,1.16796,0.70682,0.95429,0.97095,0.97884,0.98586,0.65693,1.17395,0.61423,0.87472,0.000176094,0.000176094,0.000176094
87,478.069,1.17434,0.71952,0.95409,0.96685,0.97609,0.98114,0.63879,1.22283,0.63841,0.88958,0.000165095,0.000165095,0.000165095
88,483.544,1.15274,0.70309,0.95584,0.96989,0.98066,0.983,0.63846,1.21737,0.62591,0.88611,0.000154096,0.000154096,0.000154096
89,489.009,1.17582,0.70588,0.95239,0.97069,0.97236,0.97995,0.64496,1.1915,0.6142,0.88054,0.000143097,0.000143097,0.000143097
90,494.496,1.1559,0.68972,0.95129,0.95869,0.97042,0.97755,0.63656,1.22466,0.63771,0.88469,0.000132098,0.000132098,0.000132098
91,500.58,1.13767,0.65865,0.94189,0.94581,0.96027,0.9649,0.62008,1.22164,0.66382,0.88141,0.000121099,0.000121099,0.000121099
92,506.044,1.12344,0.61187,0.92926,0.96875,0.97796,0.98236,0.64378,1.19473,0.61193,0.88115,0.0001101,0.0001101,0.0001101
93,511.383,1.11482,0.6041,0.93468,0.94296,0.95447,0.96225,0.62762,1.20509,0.65809,0.88208,9.91012e-05,9.91012e-05,9.91012e-05
94,516.795,1.10519,0.59599,0.92516,0.94215,0.95545,0.96212,0.62744,1.2018,0.65461,0.87956,8.81023e-05,8.81023e-05,8.81023e-05
95,522.291,1.0961,0.58898,0.92511,0.96964,0.97735,0.98248,0.6448,1.20018,0.6149,0.88006,7.71034e-05,7.71034e-05,7.71034e-05
96,527.758,1.0968,0.58881,0.92613,0.96176,0.97098,0.97804,0.64923,1.18108,0.61737,0.87622,6.61045e-05,6.61045e-05,6.61045e-05
97,533.262,1.08791,0.58494,0.92797,0.97724,0.98156,0.98704,0.65796,1.18181,0.58248,0.8756,5.51056e-05,5.51056e-05,5.51056e-05
98,538.839,1.09013,0.58542,0.92744,0.96342,0.96995,0.97904,0.64878,1.17804,0.60117,0.87542,4.41067e-05,4.41067e-05,4.41067e-05
99,544.416,1.10049,0.58057,0.9346,0.96705,0.96747,0.98018,0.65711,1.16784,0.59629,0.8721,3.31078e-05,3.31078e-05,3.31078e-05
100,549.93,1.08453,0.57963,0.92442,0.97423,0.97825,0.98453,0.65484,1.18265,0.58534,0.87476,2.21089e-05,2.21089e-05,2.21089e-05
